Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
4/17/2022,AMZN MKTP US AMZN.COM/ SEATTLE WA 981040000 PointOfSaleWithdrawal,AMZN MKTP US AMZN.COM/ SEATTLE WA 981040000 PointOfSaleWithdrawal,24.06,debit,Shopping,Mastercard Secure,,
4/16/2022,DECLINED: FD PointOfSaleWithdrawal,DECLINED: FD PointOfSaleWithdrawal,100,debit,Charity,Mastercard Platinum,,
03/01/2022,DECLINED: FD PointOfSaleWithdrawal,DECLINED: FD PointOfSaleWithdrawal,200,debit,Kids Activities,Mastercard Platinum,,
4/17/2022,POS Transaction ACICREDIT ONE BA,POS Transaction ACICREDIT ONE BA,69.95,debit,Gas & Fuel,Dividend Rewards Checking,,
4/15/2022,OPENSKY          ONLINEPYMT 2210,OPENSKY          ONLINEPYMT 2210,51.99,debit,Bills & Utilities,TOTAL CHECKING,,
4/15/2022,PRIMERICA LIFE   INS. PREM,PRIMERICA LIFE   INS. PREM,97.63,debit,Life Insurance,TOTAL CHECKING,,
4/15/2022,Ext Credit Card Debit AMZN MKTP,Ext Credit Card Debit AMZN MKTP,17.51,debit,Shopping,Mastercard Secure,,
4/14/2022,ONLINE ONE TIME PAYMENT WOODBURY NY; ,ONLINE ONE TIME PAYMENT WOODBURY NY; ,51.99,credit,Credit Card Payment,OpenSky Secured Card ending in 4855,,
4/13/2022,ATM CASH DEPOSIT 04/13 3738 CREN,ATM CASH DEPOSIT 04/13 3738 CREN,400,credit,Transfer,TOTAL CHECKING,,
4/13/2022,NATIONAL GENERAL PAYMENT,NATIONAL GENERAL PAYMENT,143.59,debit,Auto Insurance,TOTAL CHECKING,,
4/12/2022,Recurring Icons Llc,Recurring payment to Icons8 LLC,13,debit,API,PayPal Account,,
4/12/2022,Transfer from Bank Account,Transfer from Bank Account,13,credit,Transfer,PayPal Account,,
4/12/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,60,debit,Sub Contractor,TOTAL CHECKING,,
4/12/2022,7-ELEVEN LOS ANGELES CA,7-ELEVEN LOS ANGELES CA,4.16,debit,Fast Food,TOTAL CHECKING,,
4/12/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,140,debit,Sub Contractor,TOTAL CHECKING,,
4/12/2022,Jasper Jspayment,Jasper           JSPayment  1500,25,debit,Finance Charge,TOTAL CHECKING,,
4/12/2022,PAYPAL           INST XFER  ICON,PAYPAL           INST XFER  ICON,13,debit,Shopping,TOTAL CHECKING,,
4/12/2022,Curri Inc. VISA DIRECT CA,Curri Inc. VISA DIRECT CA,190,credit,Income,BUS COMPLETE CHK,,
4/11/2022,Cash App Cutthechec,CASH APP*CUTTHECHEC 8774174551 C,55,debit,Sub Contractor,TOTAL CHECKING,,
4/11/2022,CASH APP*CITIZENS S 877-417-4551,CASH APP*CITIZENS S 877-417-4551,200,debit,Transfer,TOTAL CHECKING,,
4/11/2022,STARBUCKS STORE 27711 LOS ANGELE,STARBUCKS STORE 27711 LOS ANGELE,3.25,debit,Coffee Shops,TOTAL CHECKING,,
4/11/2022,ARBYS 5755 BUENA PARK CA,ARBYS 5755 BUENA PARK CA,0.69,debit,Fast Food,TOTAL CHECKING,,
4/11/2022,Capital One Card Pymt 800-955707,Capital One Card Pymt 800-955707,20,debit,Credit Card Payment,TOTAL CHECKING,,
4/11/2022,CASH APP*CUTTHECHEC 8774174551 C,CASH APP*CUTTHECHEC 8774174551 C,40,debit,Groceries,TOTAL CHECKING,,
4/11/2022,Zelle payment from KNTSA CO LLC,Zelle payment from KNTSA CO LLC,330,credit,Transfer,TOTAL CHECKING,,
4/11/2022,ARCO #42560 LOS ANGELES CA,ARCO #42560 LOS ANGELES CA,77.85,debit,Gas & Fuel,TOTAL CHECKING,,
4/11/2022,Next Ins Im,NEXT INS. - IM WWW.NEXTINSUR CA,37.25,debit,Business Insurance,BUS COMPLETE CHK,,
4/11/2022,Next Ins Gl,NEXT INS. - GL WWW.NEXTINSUR CA,42.92,debit,Business Insurance,BUS COMPLETE CHK,,
4/11/2022,INSUFFICIENT FUNDS FEE FOR A $37,INSUFFICIENT FUNDS FEE FOR A $37,34,debit,Bank Fee,BUS COMPLETE CHK,,
4/11/2022,INSUFFICIENT FUNDS FEE FOR A $19,INSUFFICIENT FUNDS FEE FOR A $19,34,debit,Bank Fee,BUS COMPLETE CHK,,
4/11/2022,ORIG CO NAME:Infinity Insuran,ORIG CO NAME:Infinity Insuran,197.94,debit,Auto Insurance,BUS COMPLETE CHK,,
4/11/2022,Curri Inc. VISA DIRECT CA,Curri Inc. VISA DIRECT CA,100,credit,Income,BUS COMPLETE CHK,,
4/11/2022,INSUFFICIENT FUNDS FEE FOR A $42,INSUFFICIENT FUNDS FEE FOR A $42,34,debit,Bank Fee,BUS COMPLETE CHK,,
4/10/2022,INTEREST CHARGE ON PURCHASES; ,INTEREST CHARGE ON PURCHASES; ,11.4,debit,Finance Charge,OpenSky Secured Card ending in 4855,,
4/10/2022,ANNUAL CHARGE  05/22 THROUGH 04/23; ,ANNUAL CHARGE  05/22 THROUGH 04/23; ,35,debit,Service Fee,OpenSky Secured Card ending in 4855,,
04/09/2022,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,42.83,debit,Finance Charge,Visa Business Card,,
04/09/2022,CRAIGSLIST.ORG,CRAIGSLIST.ORG,5,debit,Advertising,Visa Business Card,,
04/09/2022,Ext Credit Card Credit PAYMENT,Ext Credit Card Credit PAYMENT,25,credit,Credit Card Payment,Mastercard Secure,,
04/09/2022,Ext Credit Card Debit AMZN MKTP,Ext Credit Card Debit AMZN MKTP,18.47,debit,Shopping,Mastercard Secure,,
